"muuttuja","kategoria","arvo_tai_kynnys","yksikko","kuvaus","lahde"
"Nuorten ohjaus palveluihin","Työvoimapalvelut","alle 30","ikävuotta","Ikäraja, jonka perusteella nuoret ohjataan nopeasti työllisyyspalveluiden piiriin.","[4]"
"Palveluprosessin voimaantulo","Lainsäädäntö","1.1.2026","päivämäärä","Ajankohta, jolloin uusi kevennetty palveluprosessi ja lakimuutokset on tarkoitettu tulemaan voimaan.","[4]"
"Alkuhaastattelun määräaika","Työllisyys/Palveluprosessi","10","Arkipäivää","Määräaika, jonka kuluessa työnhaun alussa tehtävä alkuhaastattelu on järjestettävä.","[5]"
"Nuorten työllistymissetelin ikäraja","Työllisyys","alle 30","Vuotta","Ikäraja työttömille nuorille, joiden työllistämiseen yritykset voivat saada valtionavustusta.","[5]"
"Nuorten työllistymissetelin palkka-avustus","Talous/Työllisyys","50","Prosenttia (%)","Osuus nuoren palkasta, jonka valtionavustus kattaa työllistymisseteliä käytettäessä.","[5]"
"Työttömyysturvan karenssi (ensimmäinen laiminlyönti)","Talous/Työllisyys","7","Kalenteripäivää","Korvaukseton määräaika ensimmäisestä työnhakuun liittyvästä laiminlyönnistä 1.3.2026 alkaen.","[5]"
"Työvoimapalveluihin paluun työssäolovelvoite","Työllisyys","6","Viikkoa","Lyhennetty aika, jonka työssäoloa tai palveluun osallistumista vaaditaan etuusoikeuden palauttamiseksi.","[5]"
"Elinvoimakeskusten lukumäärä","Aluehallinto","10","Kpl","Uusien 1.1.2026 toimintansa aloittavien elinvoimakeskusten määrä.","[5]"
"Nuorten työllistymissetelin kesto","Työllisyys","6","Kuukautta","Enimmäisaika, jolta yritys voi saada palkka-avustusta nuoren työllistämiseen.","[5]"
"Elinvoimakeskuksiin siirtyvän henkilöstön määrä","Työelämä/Hallinto","lähes 2000","Henkilöä (asiantuntijaa)","Asiantuntijoiden määrä, joka siirtyy ELY-keskuksista uusiin elinvoimakeskuksiin.","[5]"
"Pohjoismainen työvoimapalvelumalli (vaikutus)","Työllisyys","9 500–10 000","Henkilömäärä (työllisyysvaikutus)","Malli tukee nopeaa työhön pääsyä ja tarjoaa tiivistä yksilöllistä tukea työnhakijalle.","[6]"
"TE-palvelut 2024 -uudistus (vaikutus)","Työllisyys","7 000–10 000","Henkilömäärä (työllisyysvaikutus)","Palvelujen siirto kuntiin tuo ne lähemmäksi asiakkaita ja vahvistaa paikallisten työmarkkinoiden tarpeita.","[6]"
"Digitaalisten TE-palvelujen uudistus (vaikutus)","Työllisyys","700 (arvio 200–1 200)","Henkilömäärä (työllisyysvaikutus)","Sähköiset palvelut tehostavat työnvälitystä ja lyhentävät työttömyysjaksoja.","[6]"
"Työnhakuvelvoite omaehtoiseen opiskeluun (vaikutus)","Työllisyys / Koulutus","1 100","Henkilömäärä (työllisyysvaikutus)","Parantaa työttömien opiskelumahdollisuuksia työttömyysetuutta menettämättä, asettaen samalla työnhakuvelvollisuuden.","[6]"
"Työttömyysturvan työssäoloehdon uudistaminen","Talous / Työllisyys","1 500","Henkilömäärä (työllisyysvaikutus)","Hanke, joka on merkitty lähteessä tilaan 'ei etene'.","[6]"
"TE-palvelujen siirtoajankohta kunnille","Hallinto","1.1.2025","Päivämäärä","Päivä, jolloin vastuu TE-palveluista siirtyy valtiolta kunnille.","[6]"
"KEDS-testi (uupumuspisteet)","Mielenterveys / Hyvinvointi","19","0–54 pistettä","Kynnysarvo uupumuksen tunnistamiseen (Inferred/User-defined).","[User Description]"
"Työllisyysaste","Talous","Ei määritelty lähteessä","Prosentti","Työllisten osuus työikäisestä väestöstä.","[6]"
"Työttömyysaste","Talous ja työllisyys","10","prosentti (%)","Työttömien määrän suhteellinen osuus työvoimasta; ylitti 10 prosentin rajan elokuussa.","[7]"
"Työllisten määrän muutos","Talous ja työllisyys","-80 000","henkilömäärä","Työllisten määrän väheneminen hallituskauden alusta laskettuna.","[7]"
"Työttömän bruttotulot","Talous ja toimeentulo","1300","euroa (EUR) / kuukausi","SAK:laisen työttömän keskimääräiset bruttotulot kuukaudessa.","[7]"
"Naistyöttömän bruttotulot","Talous ja toimeentulo","1200","euroa (EUR) / kuukausi","SAK:laisen naispuolisen työttömän keskimääräiset bruttotulot kuukaudessa.","[7]"
"Ansiosidonnaisen työttömyysturvan leikkaus","Sosiaaliturva","20","prosentti (%)","Työttömyysturvan tason alennus kahden kuukauden työttömyyden jälkeen.","[7]"
"Työllisyystavoite (hallitus)","Talous ja työllisyys","100 000","työpaikkaa","Orpon hallituksen asettama tavoite uusien työpaikkojen määrälle.","[7]"
"KEDS-testi (uupumus)","Mielenterveys ja hyvinvointi","19","0–54 pisteen asteikko","Kliininen kynnysarvo uupumusoireiden tunnistamiseen (Inferred).","[User Description]"
"Osatyökykyiset työelämän ulkopuolella","Työllisyys","65 000","Henkilömäärä","Arvioitu määrä työhön halukkaita ja kykeneviä osatyökykyisiä, jotka ovat tällä hetkellä työelämän ulkopuolella.","[8]"
"Nuorten pitkäaikaistyöttömyys","Työllisyys","10","Kertainen kasvu","Nuorten pitkäaikaistyöttömyyden kehitys verrattuna vuoteen 2007.","[8]"
"Sisäilmaongelmista kärsivät","Työympäristö ja terveys","20","Prosentti (%)","Osuus työntekijöistä, joka ilmoittaa kärsivänsä työpaikan sisäilmaongelmista (joka viides).","[8]"
"STTK:n jäsenmäärä","Järjestötoiminta","400 000","Henkilömäärä","Keskusjärjestöön kuuluvien jäsenten kokonaismäärä, joka kuvaa edunvalvonnan laajuutta.","[8]"
"Jäsenliittojen määrä","Järjestötoiminta","12","Lukumäärä","STTK:hon kuuluvien itsenäisten jäsenliittojen määrä.","[8]"
"Maapallon keskilämpötilan nousun rajoitus","Ympäristö / Vihreä siirtymä","2","Aste (°C)","Pariisin ilmastosopimuksen mukainen kynnysarvo lämpötilan nousulle.","[8]"
"Hakuprosessin resurssihukka","Työllisyys","90","prosenttia (%)","Osa nykyistä järjestelmää, jossa pelkkä hakuprosessiin osallistuminen kuluttaa valtaosan hakijan voimavaroista.","[9]"
"KEDS-testi (uupumus)","Mielenterveys ja hyvinvointi","19","0–54 pisteen asteikko","Kynnysarvo uupumuksen tunnistamiseen (viitearvo simulaation stressitekijöille).","[User Description]"
"Skills-ajattelu (Osaamisprofiili)","Työllisyys","98","osuma-aste (%)","Tekoälyavusteinen mikrotaitojen tunnistus, jossa agentin osaaminen vastaa tehtävän vaatimuksia ilman virallisia tutkintoja.","[9]"
"Common Good -krediitit","Talous","Ei määritelty","Digitaalinen krediitti","Täsmäpalkinto yhteiskuntaa hyödyttävästä tehtävästä, joka integroituu suoraan arjen kuluihin.","[9]"
"Pakkoleirimäinen ilmapiiri (Uhkakerroin)","Hyvinvointi","Korkea","Laadullinen / Binäärinen","Nykyjärjestelmän pakotusmalli, joka tuottaa häpeää ja uuvuttaa yksilön.","[9]"
"Piilevä potentiaali (itseopitut taidot)","Osaaminen","Ei määritelty","Mikrotaidot","Epävirallinen osaaminen, kuten elämänkoulu tai pedagogiset taidot, joita nykyinen byrokratia ei tunnista.","[9]"
"Työllisyysasteen tavoite","Talous","Ei määritelty","prosenttia (%)","Simulaation tavoitearvo työllistymiselle yksilön intohimojen ja voimavarojen ehdoilla.","[1, User Description]"
"Lyhytkestoiset opinnot","Koulutus ja työttömyysturva","6","Kuukautta (enintään)","Aikaraja, jonka puitteissa työtön voi opiskella lyhytkestoisia opintoja menettämättä työttömyysturvaansa.","[10]"
"Suunnitelman arviointiväli","Työllistymisprosessi","3","Kuukautta","Määräaika, jolloin työllistymissuunnitelmaa ja sen toteutumista arvioidaan yhdessä asiantuntijan kanssa.","[10]"
"Yritystoiminnan arviointivapaa jakso","Talous ja yrittäjyys","4","Kuukautta","Aika yritystoiminnan alusta, jolloin pää- tai sivutoimisuutta ei arvioida työttömyysturvaan vaikuttavana tekijänä.","[10]"
"Nuorten hakeutumisvelvollisuus","Koulutus ja työttömyysturva","2","Koulutuspaikkaa (vähintään)","Alle 25-vuotiaan vailla ammatillista koulutusta olevan on haettava vähintään tätä määrää opiskelupaikkoja säilyttääkseen työttömyysturvan.","[10]"
"Selvitysten säilytysaika","Velvollisuudet ja dokumentointi","1","Vuosi","Aika, jonka työttömän on säilytettävä työnhakuvelvollisuuden täyttämiseen liittyvät asiakirjat ja selvitykset.","[10]"
"Työttömyysturvan tarkistuspäivä (nuoret)","Koulutus ja työttömyysturva","1.9.","Päivämäärä","Ajankohta, jolloin alle 25-vuotiaiden oikeus työttömyysturvaan tarkistetaan suhteessa opiskelupaikkojen hakuun.","[10]"
"Työvoimakoulutukseen hakeminen","Velvollisuudet","Velvoittava","Kyllä/Ei","Asiantuntijan tarjoamaan koulutukseen hakeutuminen on ehtona työttömyysturvan jatkumiselle.","[10]"
"Kokoaikatyön hakuvelvoite","Työllisyysaste ja velvollisuudet","Kokoaikatyö","Työaika","Pääsääntöinen velvollisuus hakea kokoaikaista työtä työttömyysturvan saamiseksi, ellei kyseessä ole osaeläke.","[10]"
"Työnhakuvelvollisuus (perustaso)","Työllisyys","4","työmahdollisuutta kuukaudessa","Osa-aikatyötä tekevien työnhakuvelvollisuus nousee samalle tasolle kuin muilla työttömillä työnhakijoilla.","[11]"
"Ensimmäinen laiminlyöntiseuraamus","Työttömyysturva","7","päivän karenssi","Työttömyysturvaseuraamus, jos työnhakija ei toimi työllistymissuunnitelmassa sovitulla tavalla.","[11]"
"Toistuva laiminlyöntiseuraamus","Työttömyysturva","6","viikon työssäolovelvoite","Seuraamus, jos laiminlyönti toistuu 12 kuukauden sisällä ensimmäisestä kerrasta.","[11]"
"Nuorten koulutushakuvelvollisuus","Koulutus","2","koulutuspaikkaa","Alle 25-vuotiaan ammatillista tutkintoa vailla olevan nuoren velvollisuus hakea tutkintoon johtavaan koulutukseen.","[11]"
"KEDS-testin uupumuskynnys (Inferred)","Mielenterveys","19","0–54 pistettä","Kynnysarvo, joka viittaa kohonneeseen uupumusoireiden riskiin Karolinska Exhaustion Disorder Scale -testissä.","Käyttäjän kuvaus / Yleinen asiantuntemus"
"Työllisyysaste (Inferred)","Talous","75–80","prosentti (%)","Väestön työllisyysasteen tavoitetaso tai seuranta-arvo simulaatiossa.","Käyttäjän kuvaus / Yleinen asiantuntemus"
"Toimeentulotuen hakuvelvoite","Sosiaalietuudet","Kokoaikatyön haku","Binäärinen (Kyllä/Ei)","Toimeentulotukea hakevien on ilmoittauduttava kokoaikatyön hakijaksi 1.2.2026 alkaen.","[11]"
"Työllisyysasteen kasvutavoite","Talous ja työllisyys","9 500–10 000","Henkilömäärä","Pohjoismaisen työvoimapalvelumallin arvioitu työllisyysvaikutus vuodesta 2025 alkaen.","[12]"
"Työnhakuvelvoite (lähtökohta)","Työllisyys","4","Työmahdollisuutta kuukaudessa","Määrä, jota työnhakijan on lähtökohtaisesti haettava säilyttääkseen työttömyysetuuden.","[12]"
"Julkisen talouden vaikutus","Talous","230","Miljoonaa euroa vuodessa","Uudistuksen arvioitu positiivinen vaikutus julkiseen talouteen.","[12]"
"Työnhakutapaamisten tiheys (alkuvaihe)","Palveluprosessi","2","Viikon välein","Tapaamisten järjestämissykli työnhaun kolmen ensimmäisen kuukauden aikana.","[12]"
"Alkuhaastattelun määräaika","Palveluprosessi","5","Arkipäivää","Aika, jonka kuluessa työnhakijan alkuhaastattelu on järjestettävä ilmoittautumisesta.","[12]"
"TE-palvelujen resurssilisäys","Talous / Hallinto","70","Miljoonaa euroa vuodessa","Pysyvä lisärahoitus asiakaspalvelun vahvistamiseen ja asiantuntijoiden palkkaamiseen.","[12]"
